SKU,stock,price,msrp,rebate,sale,name,brand,category,form factor,CPU,RAM,DDR,storage,OS,GPU,VRAM,screen res.,screen type,WiFi,keyboard,touch,ethernet,release year,warranty,warranty desc.,type,CPU score,score,url,updated,discovered,scanned
12LN000BUS,1947,927.0,1049.0,125.0,122.0,ThinkCentre neo 50q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i5-13420H,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,1 Year,"1-year, Onsite",desktop,0,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-neo-50q-gen-4-12ln000bus-desktop-computer/12ln000bus,09/15/2024,09/17/2024,1
12LN000CUS,991,845.0,969.0,125.0,124.0,ThinkCentre neo 50q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i5-13420H,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,1 Year,"1-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-neo-50q-gen-4-12ln000cus-desktop-computer/12ln000cus,09/15/2024,09/17/2024,1
11JN002RUS,272,1273.0,1349.0,75.0,76.0,ThinkCentre M75q Gen 2,Lenovo,Desktop Computer,Tiny,AMD Ryzen 7 PRO 5750GE,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m75q-gen-2-11jn002rus-desktop-computer/11jn002rus,09/15/2024,09/17/2024,1
12E3004YUS,258,1275.0,1269.0,0.0,0,ThinkCentre M70q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i5-13400T,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,3 Year,"3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-4-12e3004yus-desktop-computer/12e3004yus,09/15/2024,09/17/2024,1
11JN002PUS,428,1039.0,1049.0,25.0,0,ThinkCentre M75q Gen 2,Lenovo,Desktop Computer,Tiny,AMD Ryzen 5 PRO 5650GE,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m75q-gen-2-11jn002pus-desktop-computer/11jn002pus,09/15/2024,09/17/2024,1
11T8001CUS,17,1730.0,1749.0,25.0,0,ThinkCentre M70s Gen 3,Lenovo,Desktop Computer,SFF,Intel Core i7-12700,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,No,English,N/A,N/A,N/A,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70s-gen-3-11t8001cus-desktop-computer/11t8001cus,09/15/2024,09/17/2024,1
11JN0089US,204,1100.0,1149.0,50.0,49.0,ThinkCentre M75q Gen 2,Lenovo,Desktop Computer,Tiny,AMD Ryzen 5 PRO 5650GE,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,3 Year,"3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m75q-gen-2-11jn0089us-desktop-computer/11jn0089us,09/15/2024,09/17/2024,1
12E30000US,718,1375.0,1589.0,200.0,214.0,ThinkCentre M70q Gen 4,Lenovo,Desktop Computer,N/A,Intel Core i7-13700T,0,N/A,512,Windows,Integrated,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,3 Year,3YR Premier NBD,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-4-12e30000us-tiny-desktop-computer/12e30000us,09/15/2024,09/17/2024,1
12JF0002US,562,1088.0,1109.0,25.0,21.0,ThinkCentre neo 50s Gen 4,Lenovo,Desktop Computer,SFF,Intel Core i5-13400,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,3 Year,"Base Warranty 1-year, OnsiteIncluded Upgrade 3Y Onsite upgrade from 1Y Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-neo-50s-gen-4-12jf0002us-desktop-computer/12jf0002us,09/15/2024,09/17/2024,1
W1JF2,1,1944.0,3208.24,0.0,1000.0,OptiPlex 7000 7010,Dell,Desktop Computer,N/A,Intel Core i7-13700,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,No,English,N/A,N/A,2023,3 Year,3Y Basic Onsite Service with Hardware Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7010-desktop-computer/w1jf2,09/15/2024,09/17/2024,1
12E30001US,296,1199.0,1249.0,50.0,50.0,ThinkCentre M70q Gen 4,Lenovo,Desktop Computer,Tiny,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-4-12e30001us-desktop-computer/12e30001us,09/15/2024,09/17/2024,1
12LN000CCA,344,845.0,969.0,125.0,124.0,ThinkCentre neo 50q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i5-13420H,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,1 Year,"1-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-neo-50q-gen-4-12ln000cca-desktop-computer/12ln000cca,09/15/2024,09/17/2024,1
12LN000BCA,188,927.0,1049.0,125.0,122.0,ThinkCentre neo 50q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i5-13420H,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,1 Year,"1-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-neo-50q-gen-4-12ln000bca-desktop-computer/12ln000bca,09/15/2024,09/17/2024,1
11U10054US,6,1366.0,1419.0,0.0,53.0,ThinkCentre M80q Gen 3,Lenovo,Desktop Computer,Tiny,Intel Core i5-12500T,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,3 Year,"3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m80q-gen-3-11u10054us-desktop-computer/11u10054us,09/15/2024,09/17/2024,1
83Q58UT#ABA,30,1199.0,1169.0,0.0,0,Pro Mini Pro Mini 400 G9,HP,Desktop Computer,Tiny,Intel Core i5-12500T,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-pro-mini-pro-mini-400-g9-desktop-computer/83q58ut-aba,09/15/2024,09/17/2024,1
82J72UT#ABA,22,1515.0,1499.0,0.0,0,Elite Mini 800 G9,HP,Desktop Computer,Tiny,Intel Core i5-12500T,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-elite-mini-800-g9-desktop-computer/82j72ut-aba,09/15/2024,09/17/2024,1
11T300C9US,10,1316.0,1309.0,0.0,0,ThinkCentre M70q Gen 3,Lenovo,Desktop Computer,Tiny,Intel Core i5-12400T,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,3 Year,"Base Warranty: 3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-3-11t300c9us-desktop-computer/11t300c9us,09/15/2024,09/17/2024,1
0HNFM,40,1740.0,2877.37,86.0,1000.0,OptiPlex 7000 7010,Dell,Desktop Computer,Tiny,Intel Core i7-13700T,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,3 Year,3Y Basic Onsite Service with Hardware Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7010-desktop-computer/0hnfm,09/15/2024,09/17/2024,1
11R8001XUS,32,1068.0,1089.0,25.0,21.0,ThinkCentre M75s Gen 2,Lenovo,Desktop Computer,SFF,AMD Ryzen 5 PRO 5650G,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,No,English,N/A,N/A,N/A,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m75s-gen-2-11r8001xus-desktop-computer/11r8001xus,09/15/2024,09/17/2024,1
0F859,32,1785.0,2952.95,89.0,1000.0,OptiPlex 7000 7010 Plus,Dell,Desktop Computer,SFF,Intel Core i7-13700,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,No,English,N/A,N/A,2023,3 Year,3Y Basic Onsite Service with Hardware Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7010-plus-desktop-computer/0f859,09/15/2024,09/17/2024,1
11T3000RUS,10,1629.0,1649.0,0.0,20.0,ThinkCentre M70q Gen 3,Lenovo,Desktop Computer,Tiny,Intel Core i7-12700T,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-3-11t3000rus-desktop-computer/11t3000rus,09/15/2024,09/17/2024,1
